
============================================================
SPECIES: C.elegans  (N=279, k_avg=16.4)
  step  4800: sigma=0.596 C=0.028 L=2.025 alpha=-0.461 EL=20.6% edges=2462
  step  5000: sigma=0.596 C=0.028 L=2.025 alpha=-0.399 EL=19.9% edges=2462
  step  5200: sigma=0.596 C=0.028 L=2.025 alpha=-0.342 EL=21.4% edges=2462
  step  5400: sigma=0.596 C=0.028 L=2.025 alpha=-0.459 EL=20.8% edges=2462
  step  5600: sigma=0.596 C=0.028 L=2.025 alpha=-0.379 EL=20.1% edges=2462
  step  5800: sigma=0.596 C=0.028 L=2.025 alpha=-0.322 EL=21.7% edges=2462
  step  6000: sigma=0.596 C=0.028 L=2.025 alpha=-0.239 EL=21.0% edges=2462
  step  6200: sigma=0.596 C=0.028 L=2.025 alpha=-0.465 EL=20.4% edges=2462
  step  6400: sigma=0.596 C=0.028 L=2.025 alpha=-0.419 EL=21.9% edges=2462
  step  6600: sigma=0.596 C=0.028 L=2.025 alpha=-0.360 EL=21.3% edges=2462
  step  6800: sigma=0.596 C=0.028 L=2.025 alpha=-0.344 EL=20.6% edges=2462
  step  7000: sigma=0.596 C=0.028 L=2.025 alpha=-0.400 EL=20.0% edges=2462
  step  7200: sigma=0.596 C=0.028 L=2.025 alpha=-0.451 EL=21.5% edges=2462
  step  7400: sigma=0.596 C=0.028 L=2.025 alpha=-0.293 EL=20.9% edges=2462
  step  7600: sigma=0.596 C=0.028 L=2.025 alpha=-0.290 EL=20.2% edges=2462
  step  7800: sigma=0.596 C=0.028 L=2.025 alpha=-0.284 EL=21.8% edges=2462

--- C.elegans FINAL (5.8s) ---
  ❌ sigma=0.596  target=(4.0, None)
  ❌ C=0.028  target=(0.25, None)
  ✅ L=2.025  target=(2.0, 3.5)
  ❌ alpha=-0.384  target=(1.5, 2.5)
  ✅ EL=0.209  target=(0.15, 0.28)
  SCORE: 2/5

============================================================
SPECIES: Larval_Drosophila  (N=321, k_avg=51.6)
============================================================
  [Larval_Drosophila] N=321, init_edges=10807, sensor=64, patterns=8
  step   200: sigma=0.445 C=0.065 L=1.749 alpha=-0.304 EL=0.0% edges=8704
  step   400: sigma=0.445 C=0.065 L=1.749 alpha=-0.356 EL=0.0% edges=8704
  step   600: sigma=0.445 C=0.065 L=1.749 alpha=-0.519 EL=0.9% edges=8704
  step   800: sigma=0.445 C=0.065 L=1.749 alpha=-0.487 EL=3.2% edges=8704
  step  1000: sigma=0.445 C=0.065 L=1.749 alpha=-0.539 EL=5.5% edges=8704
  step  1200: sigma=0.445 C=0.065 L=1.749 alpha=-0.590 EL=7.8% edges=8704
  step  1400: sigma=0.445 C=0.065 L=1.749 alpha=-0.466 EL=10.1% edges=8704
  step  1600: sigma=0.445 C=0.065 L=1.749 alpha=-0.486 EL=12.4% edges=8704
  step  1800: sigma=0.445 C=0.065 L=1.749 alpha=-0.389 EL=14.7% edges=8704
  step  2000: sigma=0.445 C=0.065 L=1.749 alpha=-0.548 EL=17.0% edges=8704
  step  2200: sigma=0.445 C=0.065 L=1.749 alpha=-0.467 EL=19.3% edges=8704
  step  2400: sigma=0.445 C=0.065 L=1.749 alpha=-0.440 EL=21.6% edges=8704
  step  2600: sigma=0.445 C=0.065 L=1.749 alpha=-0.369 EL=21.7% edges=8704
  step  2800: sigma=0.445 C=0.065 L=1.749 alpha=-0.420 EL=21.8% edges=8704
  step  3000: sigma=0.445 C=0.065 L=1.749 alpha=-0.433 EL=21.9% edges=8704
  step  3200: sigma=0.445 C=0.065 L=1.749 alpha=-0.478 EL=19.8% edges=8704
  step  3400: sigma=0.445 C=0.065 L=1.749 alpha=-0.336 EL=19.9% edges=8704
  step  3600: sigma=0.445 C=0.065 L=1.749 alpha=-0.485 EL=20.0% edges=8704
  step  3800: sigma=0.445 C=0.065 L=1.749 alpha=-0.427 EL=20.1% edges=8704
  step  4000: sigma=0.445 C=0.065 L=1.749 alpha=-0.559 EL=20.2% edges=8704
  step  4200: sigma=0.445 C=0.065 L=1.749 alpha=-0.375 EL=20.3% edges=8704
  step  4400: sigma=0.445 C=0.065 L=1.749 alpha=-0.407 EL=20.4% edges=8704
  step  4600: sigma=0.445 C=0.065 L=1.749 alpha=-0.558 EL=20.5% edges=8704
  step  4800: sigma=0.445 C=0.065 L=1.749 alpha=-0.374 EL=20.6% edges=8704
  step  5000: sigma=0.445 C=0.065 L=1.749 alpha=-0.437 EL=20.7% edges=8704
  step  5200: sigma=0.445 C=0.065 L=1.749 alpha=-0.457 EL=20.9% edges=8704
  step  5400: sigma=0.445 C=0.065 L=1.749 alpha=-0.506 EL=21.0% edges=8704
  step  5600: sigma=0.445 C=0.065 L=1.749 alpha=-0.436 EL=21.1% edges=8704
  step  5800: sigma=0.445 C=0.065 L=1.749 alpha=-0.457 EL=21.2% edges=8704
  step  6000: sigma=0.445 C=0.065 L=1.749 alpha=-0.487 EL=21.3% edges=8704
  step  6200: sigma=0.445 C=0.065 L=1.749 alpha=-0.440 EL=21.4% edges=8704
  step  6400: sigma=0.445 C=0.065 L=1.749 alpha=-0.423 EL=21.5% edges=8704
  step  6600: sigma=0.445 C=0.065 L=1.749 alpha=-0.420 EL=21.6% edges=8704
  step  6800: sigma=0.445 C=0.065 L=1.749 alpha=-0.393 EL=21.7% edges=8704
  step  7000: sigma=0.445 C=0.065 L=1.749 alpha=-0.399 EL=21.8% edges=8704
  step  7200: sigma=0.445 C=0.065 L=1.749 alpha=-0.540 EL=21.9% edges=8704
  step  7400: sigma=0.445 C=0.065 L=1.749 alpha=-0.288 EL=22.0% edges=8704
  step  7600: sigma=0.445 C=0.065 L=1.749 alpha=-0.381 EL=19.9% edges=8704
  step  7800: sigma=0.445 C=0.065 L=1.749 alpha=-0.365 EL=20.0% edges=8704

--- Larval_Drosophila FINAL (8.9s) ---
  ❌ sigma=0.445  target=(3.0, None)
  ❌ C=0.065  target=(0.2, None)
  ✅ L=1.749  target=(1.5, 3.5)
  ❌ alpha=-0.473  target=(1.5, 2.5)
  ✅ EL=0.200  target=(0.15, 0.28)
  SCORE: 2/5

============================================================
SPECIES: Rat_Cortex  (N=73, k_avg=26.3)
============================================================
  [Rat_Cortex] N=73, init_edges=1232, sensor=10, patterns=8
  step   200: sigma=0.406 C=0.143 L=1.709 alpha=0.012 EL=0.0% edges=983
  step   400: sigma=0.406 C=0.143 L=1.709 alpha=-0.109 EL=0.0% edges=983
  step   600: sigma=0.406 C=0.143 L=1.709 alpha=-0.151 EL=0.0% edges=983
  step   800: sigma=0.406 C=0.143 L=1.709 alpha=-0.084 EL=7.8% edges=983
  step  1000: sigma=0.406 C=0.143 L=1.709 alpha=-0.160 EL=21.7% edges=983
  step  1200: sigma=0.406 C=0.143 L=1.709 alpha=-0.250 EL=20.0% edges=983
  step  1400: sigma=0.406 C=0.143 L=1.709 alpha=-0.145 EL=22.0% edges=983
  step  1600: sigma=0.406 C=0.143 L=1.709 alpha=-0.145 EL=20.4% edges=983
  step  1800: sigma=0.406 C=0.143 L=1.709 alpha=-0.218 EL=20.8% edges=983
  step  2000: sigma=0.406 C=0.143 L=1.709 alpha=-0.293 EL=20.1% edges=983
  step  2200: sigma=0.406 C=0.143 L=1.709 alpha=-0.250 EL=20.3% edges=983
  step  2400: sigma=0.406 C=0.143 L=1.709 alpha=-0.239 EL=20.7% edges=983
  step  2600: sigma=0.406 C=0.143 L=1.709 alpha=-0.347 EL=21.6% edges=983
  step  2800: sigma=0.406 C=0.143 L=1.709 alpha=-0.265 EL=20.1% edges=983
  step  3000: sigma=0.406 C=0.143 L=1.709 alpha=-0.275 EL=20.0% edges=983
  step  3200: sigma=0.406 C=0.143 L=1.709 alpha=-0.294 EL=21.1% edges=983
  step  3400: sigma=0.406 C=0.143 L=1.709 alpha=-0.228 EL=20.2% edges=983
  step  3600: sigma=0.406 C=0.143 L=1.709 alpha=-0.189 EL=21.3% edges=983
  step  3800: sigma=0.406 C=0.143 L=1.709 alpha=-0.279 EL=20.5% edges=983
  step  4000: sigma=0.406 C=0.143 L=1.709 alpha=-0.296 EL=20.9% edges=983
  step  4200: sigma=0.406 C=0.143 L=1.709 alpha=-0.335 EL=20.7% edges=983
  step  4400: sigma=0.406 C=0.143 L=1.709 alpha=-0.442 EL=21.0% edges=983
  step  4600: sigma=0.406 C=0.143 L=1.709 alpha=-0.352 EL=21.8% edges=983
  step  4800: sigma=0.406 C=0.143 L=1.709 alpha=-0.268 EL=19.9% edges=983
  step  5000: sigma=0.406 C=0.143 L=1.709 alpha=-0.318 EL=20.7% edges=983
  step  5200: sigma=0.406 C=0.143 L=1.709 alpha=-0.439 EL=20.7% edges=983
  step  5400: sigma=0.406 C=0.143 L=1.709 alpha=-0.421 EL=21.0% edges=983
  step  5600: sigma=0.406 C=0.143 L=1.709 alpha=-0.363 EL=21.2% edges=983
  step  5800: sigma=0.406 C=0.143 L=1.709 alpha=-0.344 EL=21.7% edges=983
  step  6000: sigma=0.406 C=0.143 L=1.709 alpha=-0.286 EL=21.8% edges=983
  step  6200: sigma=0.406 C=0.143 L=1.709 alpha=-0.270 EL=21.8% edges=983
  step  6400: sigma=0.406 C=0.143 L=1.709 alpha=-0.415 EL=20.4% edges=983
  step  6600: sigma=0.406 C=0.143 L=1.709 alpha=-0.402 EL=19.9% edges=983
  step  6800: sigma=0.406 C=0.143 L=1.709 alpha=-0.291 EL=22.0% edges=983
  step  7000: sigma=0.406 C=0.143 L=1.709 alpha=-0.338 EL=21.0% edges=983
  step  7200: sigma=0.406 C=0.143 L=1.709 alpha=-0.390 EL=21.2% edges=983
  step  7400: sigma=0.406 C=0.143 L=1.709 alpha=-0.308 EL=21.6% edges=983
  step  7600: sigma=0.406 C=0.143 L=1.709 alpha=-0.429 EL=19.9% edges=983
  step  7800: sigma=0.406 C=0.143 L=1.709 alpha=-0.375 EL=21.5% edges=983

--- Rat_Cortex FINAL (3.7s) ---
  ❌ sigma=0.406  target=(2.5, None)
  ❌ C=0.143  target=(0.3, None)
  ✅ L=1.709  target=(1.5, 3.0)
  ❌ alpha=-0.414  target=(1.5, 2.5)
  ✅ EL=0.212  target=(0.15, 0.28)
  SCORE: 2/5

============================================================
SPECIES: Mouse_Cortex  (N=112, k_avg=58.4)
============================================================
  [Mouse_Cortex] N=112, init_edges=4362, sensor=16, patterns=8
  step   200: sigma=0.392 C=0.216 L=1.564 alpha=-0.121 EL=0.0% edges=3501
  step   400: sigma=0.392 C=0.216 L=1.564 alpha=-0.232 EL=0.0% edges=3501
  step   600: sigma=0.392 C=0.216 L=1.564 alpha=-0.338 EL=2.3% edges=3501
  step   800: sigma=0.392 C=0.216 L=1.564 alpha=-0.404 EL=8.0% edges=3501
  step  1000: sigma=0.392 C=0.216 L=1.564 alpha=-0.485 EL=13.7% edges=3501
  step  1200: sigma=0.392 C=0.216 L=1.564 alpha=-0.389 EL=19.4% edges=3501
  step  1400: sigma=0.392 C=0.216 L=1.564 alpha=-0.546 EL=20.7% edges=3501
  step  1600: sigma=0.392 C=0.216 L=1.564 alpha=-0.521 EL=19.8% edges=3501
  step  1800: sigma=0.392 C=0.216 L=1.564 alpha=-0.545 EL=21.1% edges=3501
  step  2000: sigma=0.392 C=0.216 L=1.564 alpha=-0.535 EL=20.3% edges=3501
  step  2200: sigma=0.392 C=0.216 L=1.564 alpha=-0.514 EL=21.6% edges=3501
  step  2400: sigma=0.392 C=0.216 L=1.564 alpha=-0.490 EL=20.7% edges=3501
  step  2600: sigma=0.392 C=0.216 L=1.564 alpha=-0.445 EL=22.0% edges=3501
  step  2800: sigma=0.392 C=0.216 L=1.564 alpha=-0.544 EL=21.1% edges=3501
  step  3000: sigma=0.392 C=0.216 L=1.564 alpha=-0.597 EL=20.2% edges=3501
  step  3200: sigma=0.392 C=0.216 L=1.564 alpha=-0.342 EL=21.5% edges=3501
  step  3400: sigma=0.392 C=0.216 L=1.564 alpha=-0.408 EL=20.7% edges=3501
  step  3600: sigma=0.392 C=0.216 L=1.564 alpha=-0.580 EL=22.0% edges=3501
  step  3800: sigma=0.392 C=0.216 L=1.564 alpha=-0.445 EL=21.1% edges=3501
  step  4000: sigma=0.392 C=0.216 L=1.564 alpha=-0.596 EL=20.2% edges=3501
  step  4200: sigma=0.392 C=0.216 L=1.564 alpha=-0.636 EL=21.5% edges=3501
  step  4400: sigma=0.392 C=0.216 L=1.564 alpha=-0.509 EL=20.6% edges=3501
  step  4600: sigma=0.392 C=0.216 L=1.564 alpha=-0.633 EL=21.9% edges=3501
  step  4800: sigma=0.392 C=0.216 L=1.564 alpha=-0.528 EL=21.1% edges=3501
  step  5000: sigma=0.392 C=0.216 L=1.564 alpha=-0.522 EL=20.2% edges=3501
  step  5200: sigma=0.392 C=0.216 L=1.564 alpha=-0.621 EL=21.5% edges=3501
  step  5400: sigma=0.392 C=0.216 L=1.564 alpha=-0.426 EL=20.6% edges=3501
  step  5600: sigma=0.392 C=0.216 L=1.564 alpha=-0.503 EL=21.9% edges=3501
  step  5800: sigma=0.392 C=0.216 L=1.564 alpha=-0.653 EL=21.0% edges=3501
  step  6000: sigma=0.392 C=0.216 L=1.564 alpha=-0.386 EL=20.1% edges=3501
  step  6200: sigma=0.392 C=0.216 L=1.564 alpha=-0.352 EL=21.5% edges=3501
  step  6400: sigma=0.392 C=0.216 L=1.564 alpha=-0.395 EL=20.6% edges=3501
  step  6600: sigma=0.392 C=0.216 L=1.564 alpha=-0.445 EL=21.9% edges=3501
  step  6800: sigma=0.392 C=0.216 L=1.564 alpha=-0.586 EL=21.0% edges=3501
  step  7000: sigma=0.392 C=0.216 L=1.564 alpha=-0.886 EL=20.1% edges=3501
  step  7200: sigma=0.392 C=0.216 L=1.564 alpha=-0.553 EL=21.4% edges=3501
  step  7400: sigma=0.392 C=0.216 L=1.564 alpha=-0.530 EL=20.5% edges=3501
  step  7600: sigma=0.392 C=0.216 L=1.564 alpha=-0.558 EL=21.9% edges=3501
  step  7800: sigma=0.392 C=0.216 L=1.564 alpha=-0.518 EL=21.0% edges=3501

--- Mouse_Cortex FINAL (5.1s) ---
  ❌ sigma=0.392  target=(2.5, None)
  ❌ C=0.216  target=(0.35, None)
  ✅ L=1.564  target=(1.5, 3.0)
  ❌ alpha=-0.593  target=(1.5, 2.5)
  ✅ EL=0.199  target=(0.15, 0.28)
  SCORE: 2/5

============================================================
SPECIES: Macaque_Cortex  (N=242, k_avg=16.9)
============================================================
  [Macaque_Cortex] N=242, init_edges=2791, sensor=29, patterns=8
  step   200: sigma=0.538 C=0.032 L=1.969 alpha=-0.108 EL=0.0% edges=2306
  step   400: sigma=0.538 C=0.032 L=1.969 alpha=-0.039 EL=0.0% edges=2306
  step   600: sigma=0.538 C=0.032 L=1.969 alpha=-0.030 EL=0.0% edges=2306
  step   800: sigma=0.538 C=0.032 L=1.969 alpha=-0.241 EL=0.4% edges=2306
  step  1000: sigma=0.538 C=0.032 L=1.969 alpha=-0.246 EL=6.7% edges=2306
  step  1200: sigma=0.538 C=0.032 L=1.969 alpha=-0.223 EL=15.4% edges=2306
  step  1400: sigma=0.538 C=0.032 L=1.969 alpha=-0.244 EL=21.9% edges=2306
  step  1600: sigma=0.538 C=0.032 L=1.969 alpha=-0.220 EL=21.9% edges=2306
  step  1800: sigma=0.538 C=0.032 L=1.969 alpha=-0.234 EL=21.9% edges=2306
  step  2000: sigma=0.538 C=0.032 L=1.969 alpha=-0.355 EL=21.9% edges=2306
  step  2200: sigma=0.538 C=0.032 L=1.969 alpha=-0.358 EL=21.9% edges=2306
  step  2400: sigma=0.538 C=0.032 L=1.969 alpha=-0.403 EL=21.9% edges=2306
  step  2600: sigma=0.538 C=0.032 L=1.969 alpha=-0.272 EL=21.9% edges=2306
  step  2800: sigma=0.538 C=0.032 L=1.969 alpha=-0.379 EL=21.9% edges=2306
  step  3000: sigma=0.538 C=0.032 L=1.969 alpha=-0.504 EL=21.9% edges=2306
  step  3200: sigma=0.538 C=0.032 L=1.969 alpha=-0.275 EL=21.9% edges=2306
  step  3400: sigma=0.538 C=0.032 L=1.969 alpha=-0.403 EL=21.9% edges=2306
  step  3600: sigma=0.538 C=0.032 L=1.969 alpha=-0.367 EL=21.9% edges=2306
  step  3800: sigma=0.538 C=0.032 L=1.969 alpha=-0.262 EL=21.9% edges=2306
  step  4000: sigma=0.538 C=0.032 L=1.969 alpha=-0.318 EL=21.9% edges=2306
  step  4200: sigma=0.538 C=0.032 L=1.969 alpha=-0.413 EL=21.9% edges=2306
  step  4400: sigma=0.538 C=0.032 L=1.969 alpha=-0.419 EL=21.9% edges=2306
  step  4600: sigma=0.538 C=0.032 L=1.969 alpha=-0.289 EL=21.9% edges=2306
  step  4800: sigma=0.538 C=0.032 L=1.969 alpha=-0.349 EL=21.9% edges=2306
  step  5000: sigma=0.538 C=0.032 L=1.969 alpha=-0.332 EL=21.9% edges=2306
  step  5200: sigma=0.538 C=0.032 L=1.969 alpha=-0.373 EL=21.9% edges=2306
  step  5400: sigma=0.538 C=0.032 L=1.969 alpha=-0.358 EL=21.9% edges=2306
  step  5600: sigma=0.538 C=0.032 L=1.969 alpha=-0.317 EL=21.9% edges=2306
  step  5800: sigma=0.538 C=0.032 L=1.969 alpha=-0.382 EL=21.9% edges=2306
  step  6000: sigma=0.538 C=0.032 L=1.969 alpha=-0.379 EL=21.9% edges=2306
  step  6200: sigma=0.538 C=0.032 L=1.969 alpha=-0.374 EL=21.9% edges=2306
  step  6400: sigma=0.538 C=0.032 L=1.969 alpha=-0.295 EL=21.9% edges=2306
  step  6600: sigma=0.538 C=0.032 L=1.969 alpha=-0.327 EL=21.9% edges=2306
  step  6800: sigma=0.538 C=0.032 L=1.969 alpha=-0.335 EL=21.9% edges=2306
  step  7000: sigma=0.538 C=0.032 L=1.969 alpha=-0.354 EL=21.9% edges=2306
  step  7200: sigma=0.538 C=0.032 L=1.969 alpha=-0.366 EL=21.9% edges=2306
  step  7400: sigma=0.538 C=0.032 L=1.969 alpha=-0.418 EL=21.9% edges=2306
  step  7600: sigma=0.538 C=0.032 L=1.969 alpha=-0.315 EL=21.9% edges=2306
  step  7800: sigma=0.538 C=0.032 L=1.969 alpha=-0.446 EL=21.9% edges=2306
/home/work/.openclaw/workspace/sdi_sim/sdi_experiment1_v2.py:615: UserWarning: Glyph 23567 (\N{CJK UNIFIED IDEOGRAPH-5C0F}) missing from font(s) DejaVu Sans.
  plt.tight_layout()
/home/work/.openclaw/workspace/sdi_sim/sdi_experiment1_v2.py:615: UserWarning: Glyph 19990 (\N{CJK UNIFIED IDEOGRAPH-4E16}) missing from font(s) DejaVu Sans.
  plt.tight_layout()
/home/work/.openclaw/workspace/sdi_sim/sdi_experiment1_v2.py:615: UserWarning: Glyph 30028 (\N{CJK UNIFIED IDEOGRAPH-754C}) missing from font(s) DejaVu Sans.
  plt.tight_layout()
/home/work/.openclaw/workspace/sdi_sim/sdi_experiment1_v2.py:615: UserWarning: Glyph 31995 (\N{CJK UNIFIED IDEOGRAPH-7CFB}) missing from font(s) DejaVu Sans.
  plt.tight_layout()
/home/work/.openclaw/workspace/sdi_sim/sdi_experiment1_v2.py:615: UserWarning: Glyph 25968 (\N{CJK UNIFIED IDEOGRAPH-6570}) missing from font(s) DejaVu Sans.
  plt.tight_layout()
/home/work/.openclaw/workspace/sdi_sim/sdi_experiment1_v2.py:615: UserWarning: Glyph 32858 (\N{CJK UNIFIED IDEOGRAPH-805A}) missing from font(s) DejaVu Sans.
  plt.tight_layout()
/home/work/.openclaw/workspace/sdi_sim/sdi_experiment1_v2.py:615: UserWarning: Glyph 31867 (\N{CJK UNIFIED IDEOGRAPH-7C7B}) missing from font(s) DejaVu Sans.
  plt.tight_layout()
/home/work/.openclaw/workspace/sdi_sim/sdi_experiment1_v2.py:615: UserWarning: Glyph 24179 (\N{CJK UNIFIED IDEOGRAPH-5E73}) missing from font(s) DejaVu Sans.
  plt.tight_layout()
/home/work/.openclaw/workspace/sdi_sim/sdi_experiment1_v2.py:615: UserWarning: Glyph 22343 (\N{CJK UNIFIED IDEOGRAPH-5747}) missing from font(s) DejaVu Sans.
  plt.tight_layout()
/home/work/.openclaw/workspace/sdi_sim/sdi_experiment1_v2.py:615: UserWarning: Glyph 36335 (\N{CJK UNIFIED IDEOGRAPH-8DEF}) missing from font(s) DejaVu Sans.
  plt.tight_layout()
/home/work/.openclaw/workspace/sdi_sim/sdi_experiment1_v2.py:615: UserWarning: Glyph 24452 (\N{CJK UNIFIED IDEOGRAPH-5F84}) missing from font(s) DejaVu Sans.
  plt.tight_layout()
/home/work/.openclaw/workspace/sdi_sim/sdi_experiment1_v2.py:615: UserWarning: Glyph 24130 (\N{CJK UNIFIED IDEOGRAPH-5E42}) missing from font(s) DejaVu Sans.
  plt.tight_layout()
/home/work/.openclaw/workspace/sdi_sim/sdi_experiment1_v2.py:615: UserWarning: Glyph 24459 (\N{CJK UNIFIED IDEOGRAPH-5F8B}) missing from font(s) DejaVu Sans.
  plt.tight_layout()
/home/work/.openclaw/workspace/sdi_sim/sdi_experiment1_v2.py:615: UserWarning: Glyph 25351 (\N{CJK UNIFIED IDEOGRAPH-6307}) missing from font(s) DejaVu Sans.
  plt.tight_layout()
/home/work/.openclaw/workspace/sdi_sim/sdi_experiment1_v2.py:615: UserWarning: Glyph 38190 (\N{CJK UNIFIED IDEOGRAPH-952E}) missing from font(s) DejaVu Sans.
  plt.tight_layout()
/home/work/.openclaw/workspace/sdi_sim/sdi_experiment1_v2.py:615: UserWarning: Glyph 27604 (\N{CJK UNIFIED IDEOGRAPH-6BD4}) missing from font(s) DejaVu Sans.
  plt.tight_layout()
/home/work/.openclaw/workspace/sdi_sim/sdi_experiment1_v2.py:615: UserWarning: Glyph 20363 (\N{CJK UNIFIED IDEOGRAPH-4F8B}) missing from font(s) DejaVu Sans.
  plt.tight_layout()
/home/work/.openclaw/workspace/sdi_sim/sdi_experiment1_v2.py:616: UserWarning: Glyph 23567 (\N{CJK UNIFIED IDEOGRAPH-5C0F}) missing from font(s) DejaVu Sans.
  plt.savefig(f'{OUT_DIR}/experiment1_v2_convergence.png', dpi=130,
/home/work/.openclaw/workspace/sdi_sim/sdi_experiment1_v2.py:616: UserWarning: Glyph 19990 (\N{CJK UNIFIED IDEOGRAPH-4E16}) missing from font(s) DejaVu Sans.
  plt.savefig(f'{OUT_DIR}/experiment1_v2_convergence.png', dpi=130,
/home/work/.openclaw/workspace/sdi_sim/sdi_experiment1_v2.py:616: UserWarning: Glyph 30028 (\N{CJK UNIFIED IDEOGRAPH-754C}) missing from font(s) DejaVu Sans.
  plt.savefig(f'{OUT_DIR}/experiment1_v2_convergence.png', dpi=130,
/home/work/.openclaw/workspace/sdi_sim/sdi_experiment1_v2.py:616: UserWarning: Glyph 31995 (\N{CJK UNIFIED IDEOGRAPH-7CFB}) missing from font(s) DejaVu Sans.
  plt.savefig(f'{OUT_DIR}/experiment1_v2_convergence.png', dpi=130,
/home/work/.openclaw/workspace/sdi_sim/sdi_experiment1_v2.py:616: UserWarning: Glyph 25968 (\N{CJK UNIFIED IDEOGRAPH-6570}) missing from font(s) DejaVu Sans.
  plt.savefig(f'{OUT_DIR}/experiment1_v2_convergence.png', dpi=130,
/home/work/.openclaw/workspace/sdi_sim/sdi_experiment1_v2.py:616: UserWarning: Glyph 32858 (\N{CJK UNIFIED IDEOGRAPH-805A}) missing from font(s) DejaVu Sans.
  plt.savefig(f'{OUT_DIR}/experiment1_v2_convergence.png', dpi=130,
/home/work/.openclaw/workspace/sdi_sim/sdi_experiment1_v2.py:616: UserWarning: Glyph 31867 (\N{CJK UNIFIED IDEOGRAPH-7C7B}) missing from font(s) DejaVu Sans.
  plt.savefig(f'{OUT_DIR}/experiment1_v2_convergence.png', dpi=130,
/home/work/.openclaw/workspace/sdi_sim/sdi_experiment1_v2.py:616: UserWarning: Glyph 24179 (\N{CJK UNIFIED IDEOGRAPH-5E73}) missing from font(s) DejaVu Sans.
  plt.savefig(f'{OUT_DIR}/experiment1_v2_convergence.png', dpi=130,
/home/work/.openclaw/workspace/sdi_sim/sdi_experiment1_v2.py:616: UserWarning: Glyph 22343 (\N{CJK UNIFIED IDEOGRAPH-5747}) missing from font(s) DejaVu Sans.
  plt.savefig(f'{OUT_DIR}/experiment1_v2_convergence.png', dpi=130,
/home/work/.openclaw/workspace/sdi_sim/sdi_experiment1_v2.py:616: UserWarning: Glyph 36335 (\N{CJK UNIFIED IDEOGRAPH-8DEF}) missing from font(s) DejaVu Sans.
  plt.savefig(f'{OUT_DIR}/experiment1_v2_convergence.png', dpi=130,
/home/work/.openclaw/workspace/sdi_sim/sdi_experiment1_v2.py:616: UserWarning: Glyph 24452 (\N{CJK UNIFIED IDEOGRAPH-5F84}) missing from font(s) DejaVu Sans.
  plt.savefig(f'{OUT_DIR}/experiment1_v2_convergence.png', dpi=130,
/home/work/.openclaw/workspace/sdi_sim/sdi_experiment1_v2.py:616: UserWarning: Glyph 24130 (\N{CJK UNIFIED IDEOGRAPH-5E42}) missing from font(s) DejaVu Sans.
  plt.savefig(f'{OUT_DIR}/experiment1_v2_convergence.png', dpi=130,
/home/work/.openclaw/workspace/sdi_sim/sdi_experiment1_v2.py:616: UserWarning: Glyph 24459 (\N{CJK UNIFIED IDEOGRAPH-5F8B}) missing from font(s) DejaVu Sans.
  plt.savefig(f'{OUT_DIR}/experiment1_v2_convergence.png', dpi=130,
