
============================================================
  iNEST + TCC Research Pipeline v3.3
  2026-08-23 09:06
============================================================
[09:06:24] [S2] Searching Semantic Scholar (19 queries)...
[09:06:30]   S2: 429 rate limited; skip S2 for this run and continue with arXiv/GN
[09:06:30] [arXiv] Searching arXiv (via proxy, 21 queries)...
[09:32:26]   arXiv iNEST-snn: 429 rate limit, waiting 60s (exponential backoff)...
[09:33:33]   arXiv iNEST-emergence: 429 rate limit, waiting 15s (exponential backoff)...
[09:33:49]   arXiv iNEST-emergence: 429 rate limit, waiting 30s (exponential backoff)...
[09:34:50]   arXiv iNEST-emergence: 429 rate limit, waiting 60s (exponential backoff)...
[09:36:11]   arXiv iNEST-async: 429 rate limit, waiting 15s (exponential backoff)...
[09:37:06]   arXiv iNEST-async: The read operation timed out, retry 2...
[09:37:16]   arXiv iNEST-async: 429 rate limit, waiting 60s (exponential backoff)...
[09:38:51]   arXiv iNEST-structure: The read operation timed out, retry 1...
[09:39:08]   arXiv iNEST-structure: 429 rate limit, waiting 30s (exponential backoff)...
[09:39:39]   arXiv iNEST-structure: 429 rate limit, waiting 60s (exponential backoff)...
[09:41:14]   arXiv iNEST-higher-order: The read operation timed out, retry 1...
[09:41:49]   arXiv iNEST-higher-order: The read operation timed out, retry 2...
[09:42:20]   arXiv iNEST-higher-order: <urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。>, giving up
[09:42:25]   arXiv: batch separator, pausing 10s...
[09:42:57]   arXiv iNEST-free-energy: <urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。>, retry 1...
[09:43:23]   arXiv iNEST-free-energy: <urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。>, retry 2...
[09:43:54]   arXiv iNEST-free-energy: <urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。>, giving up
[09:44:20]   arXiv iNEST-reservoir: <urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。>, retry 1...
[09:44:40]   arXiv iNEST-reservoir: 429 rate limit, waiting 30s (exponential backoff)...
[09:45:31]   arXiv iNEST-reservoir: <urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。>, giving up
[09:45:57]   arXiv bridge-network-comp: <urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。>, retry 1...
[09:46:23]   arXiv bridge-network-comp: <urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。>, retry 2...
[09:46:54]   arXiv bridge-network-comp: <urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。>, giving up
[09:47:20]   arXiv bridge-info-emergence: <urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。>, retry 1...
[09:47:46]   arXiv bridge-info-emergence: <urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。>, retry 2...
[09:48:17]   arXiv bridge-info-emergence: <urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。>, giving up
[09:48:43]   arXiv TCC-topology-centric: <urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。>, retry 1...
[09:49:10]   arXiv TCC-topology-centric: <urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。>, retry 2...
[09:49:41]   arXiv TCC-topology-centric: <urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。>, giving up
[09:49:46]   arXiv: batch separator, pausing 10s...
[09:50:17]   arXiv bridge-complex-emergence: <urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。>, retry 1...
[09:50:43]   arXiv bridge-complex-emergence: <urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。>, retry 2...
[09:51:34]   arXiv bridge-complex-emergence: The read operation timed out, giving up
[09:51:39] [arXiv] 0 new papers, 13 errors across 21 queries
[09:51:39] [GN] Google News RSS...
[09:52:01]   GN error (TCC): <urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，
[09:52:23]   GN error (iNEST): <urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，
